Integration Evaluation: -1.6004125278836678	 Time: 8.757651321093242	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 2000  
Integration Evaluation: -1.7080300838104563	 Time: 8.856034135818481	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 2000  
Integration Evaluation: -4.869025405816968	 Time: 8.939622656504314	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 2000  
Integration Evaluation: -1.54987143761041	 Time: 17.364106329282126	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 4000  
Integration Evaluation: -1.5832630877827971	 Time: 17.32600171168645	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 4000  
Integration Evaluation: -2.381876184005641	 Time: 17.44174963235855	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 4000  
Integration Evaluation: -1.5330556576983945	 Time: 25.141349164644875	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 6000  
Integration Evaluation: -1.5565114693914506	 Time: 25.679370466868082	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 6000  
Integration Evaluation: -1.9380299439553392	 Time: 25.875489858786263	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 6000  
Integration Evaluation: -1.5102501394326389	 Time: 33.48464650710424	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 8000  
Integration Evaluation: -1.536761150579346	 Time: 33.7333722670873	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 8000  
Integration Evaluation: -1.7193991505271948	 Time: 34.18285229206085	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 8000  
Integration Evaluation: -1.5011912495509427	 Time: 40.98527383406957	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 10000  
Integration Evaluation: -1.5270593377993404	 Time: 42.440249689420064	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 10000  
Integration Evaluation: -1.5095479949851092	 Time: 42.70426747401555	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 10000  
Integration Evaluation: -1.4995014783044156	 Time: 49.90658591588338	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 12000  
Integration Evaluation: -1.5218135535424868	 Time: 50.55946431159973	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 12000  
Integration Evaluation: -1.5268285511056188	 Time: 50.94603588581085	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 12000  
Integration Evaluation: -1.4872015898882793	 Time: 58.19925371011098	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 14000  
Integration Evaluation: -1.5100999021257633	 Time: 59.1163267493248	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 14000  
Integration Evaluation: -1.510211203802301	 Time: 59.524258176485695	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 14000  
Integration Evaluation: -1.484188822916156	 Time: 65.92258476813635	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 16000  
Integration Evaluation: -1.505663418375173	 Time: 67.01442697842916	 EquationX: (4*np.cos(t))	 EquationY: 2*np.sin(t)	 iter: 16000  
